Month ,Branch,Item code,type,Description,Qty,Value
2025- Feb,Khozama ,del-219,منتجات اخرى,خبز البريوش,48,270.45633
2025- Feb,Khozama ,del-199,منتجات اخرى,خس,2,8.69566
2025- Feb,Khozama ,del-198,منتجات اخرى,طماطم,2,8.69566
2025- Feb,Khozama ,del-196,منتجات اخرى,مخلل,12,26.08692
2025- Feb,Khozama ,del-189,منتجات اخرى,زيت الكمأة السوداء,1,64.8
2025- Feb,Khozama ,del-178,دجاج,دجاج الدوحة 900,30,514.36317
2025- Feb,Khozama ,del-177,دجاج,دجاج الدوحة 1000,40,727.7222
2025- Feb,Khozama ,del-176,دجاج,دجاج الدوحة 1100,5,92.65215
2025- Feb,Khozama ,del-175,دجاج,دجاج الدوحة 1200,22,420.2096
2025- Feb,Khozama ,del-174,منتجات اخرى,فلفل اسود كامل 155 جرام,1,24.13043
2025- Feb,Khozama ,del-173,دجاج,أفخاذ دجاج كاملة الدوحة 500 جرام,20,106.7753
2025- Feb,Khozama ,del-66,لحم عجل,لحم بتلو بالعظم,10,402.1739
2025- Feb,Khozama ,del-83,لحم عجل,لحم عجل صافي,2.03,94.95104
2025- Feb,Khozama ,del-122,ضأن,لحم غنم بالكيلو,1,51.26087
2025- Feb,Khozama ,del-16,لحم عجل,برجر الكيجن,2,42.76522
2025- Feb,Khozama ,del-23,لحم عجل,كفتة السوق لحم,1,19.34783
2025- Feb,Khozama ,20,لحم عجل,لحم بتلو بالعظم,62.105,2124.34784
2025- Feb,Khozama ,60,لحم عجل,كبدة بتلو,11.715,486.75368
2025- Feb,Khozama ,180,لحم عجل,لحم عجل صافي,53.625,2489.54138
2025- Feb,Khozama ,190,لحم عجل,لحم عجل بالعظم,8.05,277.76002
2025- Feb,Khozama ,210,لحم عجل,لحم عجل مفروم,103.475,4374.88147
2025- Feb,Khozama ,220,لحم عجل,لحم عجل مفروم صافي,52.625,2461.47703
2025- Feb,Khozama ,230,لحم عجل,كبدة عجل,2.95,131.87649
2025- Feb,Khozama ,530,ضأن,لحم غنم بالكيلو,68.68,3488.5743
2025- Feb,Khozama ,551,ضأن,كبدة غنم,3.175,149.08694
2025- Feb,Khozama ,570,ضأن,ريش غنم,4.59,299.34781
2025- Feb,Khozama ,580,ضأن,موزات غنم,4.44,289.56522
2025- Feb,Khozama ,1190,لحم عجل,برجر الكيجن,33,705.62613
2025- Feb,Khozama ,1220,لحم عجل,كباب لحم عجل,37,790.92395
2025- Feb,Khozama ,1240,لحم عجل,شاورما لحم,31,639.18466
2025- Feb,Khozama ,1260,لحم عجل,كفتة السوق لحم,38,733.28276
2025- Feb,Khozama ,1350,دجاج,برجر الدجاج,23,418.99997
2025- Feb,Khozama ,1370,دجاج,كباب الدجاج,14,233.51086
2025- Feb,Khozama ,1380,دجاج,جوجه كباب,11,184.13043
2025- Feb,Khozama ,1390,دجاج,أوصال دجاج بهارات الشواء,31,505.88257
2025- Feb,Khozama ,1400,دجاج,كفتة السوق دجاج,26,473.65214
2025- Feb,Khozama ,1430,منتجات اخرى,صلصة البرجر,1,4.50435
2025- Feb,Khozama ,1450,منتجات اخرى,صلصة الترافلز,2,11.0087
2025- Feb,Khozama ,1500,منتجات اخرى,بهارات الدجاج,1,10.75652
2025- Feb,Khozama ,1530,منتجات اخرى,الفلفل الاسود,1,15.56522
2025- Feb,Khozama ,1540,منتجات اخرى,بهارات كل يوم,3,32.26956
2025- Feb,Khozama ,1550,منتجات اخرى,ملح الهملايا,4,43.02608
2025- Feb,Khozama ,1600,منتجات اخرى,خبز البريوش,40,226.0868
2025- Feb,Khozama ,1620,منتجات اخرى,فلفل اسود كامل 155 جرام,2,48.26086
2025- Feb,Khozama ,1630,لحم عجل,بوكس البرجر لحم,1,114.78261
2025- Feb,Hadla,20000003801,لحم بقري,MINCED BEEF MEAT KG,-12.0139,-344.558652
2025- Feb,Al Zahra,20000009001,دجاج,CHICKEN 1000G TOQA,-6,-90
2025- Feb,Al Zahra,20000003801,لحم بقري,MINCED BEEF MEAT KG,-3.0649,-111.930148
2025- Feb,Al Zahra,20000000201,لحم عجل,YOUNG VEAL MEAT WITH BONE KG,-2.1561,-80.54939
2025- Feb,Al Zahra,20000003801,لحم بقري,MINCED BEEF MEAT KG1KG,-2.22,-73.3266
2025- Feb,Al Zahra,20000006401,دجاج,CHICKEN 1100G DOHA,-2.2848,-36.259776
2025- Feb,Al Zahra,20000003501,لحم بقري,BEEF MEAT KG,-1.03,-38.5117
2025- Feb,Al Zahra,20000003601,لحم بقري,BEEF MEAT WITH BONE KG,-0.95,-28.082
2025- Feb,Hadla,20000000701,لحم عجل,RIB EYE STEAK YOUNG VEAL KG,-0.46,-27.0296
2025- Feb,Shate,20000013201,لحم بقري,BEEF BURGER,-1,-20
2025- Feb,Shate,20000009801,دجاج,NIAMAH CHICKEN WHOLE LEGS KG,-1.0206,-12.420702
2025- Feb,Hadla,20000007901,دجاج,FRESH LIVERS A TRAY 500G DOHA,-2,-9.56
2025- Feb,Hadla,20000010201,دجاج,CHICKEN WINGS DOHA PLATE KG,-0.9798,-6.819408
2025- Feb,Khozama ,521,منتجات اخرى,قلب وكلاوي,0.52,6.78261
2025- Feb,Khozama ,710,دجاج,طبق صدور دجاج الدوحة 500جم,0,0
2025- Feb,Saihat,20000014101,لحم عجل,TAIL KG,0.504,8.77
2025- Feb,Saihat,20000014201,لحم عجل,HEART & KIDNEY KG,1.378,17.97
2025- Feb,Shate,20000014101,لحم عجل,TAIL KG,0.57,9.91
2025- Feb,Hadla,20000014101,لحم عجل,TAIL KG,3.265,56.78
2025- Feb,Hadla,20000014201,لحم عجل,HEART & KIDNEY KG,1.98,25.76
2025- Feb,Al Zahra,20000014101,لحم عجل,TAIL KG,3.945,68.62
2025- Feb,Al Zahra,20000014201,لحم عجل,HEART & KIDNEY KG,10.66,138.99
2025- Feb,Al Zahra,20000014301,منتجات اخرى,BONE KG,2.406,25.09
2025- Feb,Khozama ,del-30,دجاج,صدور دجاج كرسبي بهارات إيطالية,1,16.30435
2025- Feb,Al Zahra,20000007701,دجاج,FRESH CHEST W/BONES A TRAY500G,1,12.17
2025- Feb,Saihat,20000010201,دجاج,CHICKEN WINGS DOHA PLATE KG,2.521,17.55
2025- Feb,Khozama ,del-29,دجاج,فاهيتا دجاج,1,16.30435
2025- Feb,Khozama ,480,لحم بقري,ستيك ريب اي بقر,0.425,19.21739
2025- Feb,Al Zahra,20000008001,دجاج,FRESH MARINATED BAG 600G,1,14.78
2025- Feb,Khozama ,del-218,منتجات اخرى,جبنة سوسيرية,2,23.73914
2025- Feb,Shate,20000004601,لحم بقري,AWSAL BEEF MEET KG,0.454,19.35
2025- Feb,Khozama ,del-26,دجاج,صدور دجاج إيطالي,1,16.73913
2025- Feb,Khozama ,del-134,دجاج,حبة دجاج 1100 الدوحة,1,18.13913
2025- Feb,Al Zahra,20000008201,دجاج,FRESH MARINATED BAG 800G,1,17.39
2025- Feb,Khozama ,del-166,لحم عجل,أوصال لجم مبهر kg,0.375,11.2425
2025- Feb,Saihat,20000004701,لحم بقري,HARIES BEEF MEAT KG,0.548,21.44
2025- Feb,Khozama ,del-17,لحم عجل,برجر الدونر,1,24.30435
2025- Feb,Khozama ,100,لحم عجل,لحم موزات بتلو بالعظم,0.495,21.13435
2025- Feb,Khozama ,del-14,لحم عجل,برجر الشواء 100g,1,24.13043
2025- Feb,Tarout,20000010701,لحم عجل,BURGER CLASSIC 100G1X1,1,19.99
2025- Feb,Shate,20000010201,دجاج,CHICKEN WINGS DOHA PLATE KG,4.679,32.57
2025- Feb,Hadla,20000000701,لحم عجل,RIB EYE STEAK YOUNG VEAL KG,0.46,27.03
2025- Feb,Saihat,20000002901,لحم عجل,THIN VEAL SLICES KG,0.55,26.77
2025- Feb,Hadla,20000001701,لحم عجل,T-BONE STEAK YOUNG VEAL MEATKG,0.63,28.68
2025- Feb,Khozama ,del-165,دجاج,برجر الدجاج الفاخر,2,29.30435
2025- Feb,Hadla,20000010201,دجاج,CHICKEN WINGS DOHA PLATE KG,5.467,38.05
2025- Feb,Khozama ,del-28,دجاج,شاورما دجاج,2,32.6087
2025- Feb,Al Zahra,20000002201,لحم عجل,MINCED VEAL MEAT LOW FAT KG,0.605,28.3
2025- Feb,Khozama ,del-24,دجاج,صدور دجاج بالخردل والأعشاب,2,33.47826
2025- Feb,Shate,20000004201,لحم بقري,THIN BEEF SLICES KG,0.912,41.24
2025- Feb,Al Zahra,20000008101,دجاج,FRESH MARINATED BAG 700G,2,31.3
2025- Feb,Khozama ,del-15,لحم عجل,برجر الشواء 150g,1,32.82609
2025- Feb,Saihat,20000003901,لحم بقري,MINCED BEEF MEAT LOW FAT KG,0.85,34
2025- Feb,Shate,20000004301,لحم بقري,SMALL BEEF CUBES KG,0.948,42.87
2025- Feb,Khozama ,del-25,دجاج,صدور دجاج تندوري,2,32.6087
2025- Feb,Khozama ,del-133,دجاج,حبة دجاج 1000 الدوحة,2,35.65218
2025- Feb,Hadla,20000002401,لحم عجل,RIB EYE STEAK VEAL KG,0.725,37.2
2025- Feb,Khozama ,380,لحم بقري,لحم بقر مفروم,1.015,37.06957
2025- Feb,Al Zahra,20000010201,دجاج,CHICKEN WINGS DOHA PLATE KG,7.146,49.74
2025- Feb,Khozama ,270,لحم عجل,لحم موزات عجل بالعظم,1,39.03478
2025- Feb,Al Zahra,20000004301,لحم بقري,SMALL BEEF CUBES KG,1.095,49.51
2025- Feb,Khozama ,1590,منتجات اخرى,جبنة سوسيرية,5,59.34785
2025- Feb,Al Zahra,20000008301,دجاج,FRESH MARINATED FILLET 500G,2,40
2025- Feb,Saihat,20000002601,لحم عجل,VEAL SHANKS WITHOUT BONE KG,0.802,39.03
2025- Feb,Al Zahra,20000011101,لحم عجل,LOW FAT BURGER,2.002,42.78
2025- Feb,Tarout,20000002101,لحم عجل,MINCED VEAL MEAT KG,0.85,36.03
2025- Feb,Tarout,20000013101,دجاج,CHICKEN MASALA,3,39.09
2025- Feb,Khozama ,del-67,لحم عجل,لحم بتلو فتيلة,0.88,60.45217
2025- Feb,Al Zahra,20000005001,لحم بقري,RIBS BEEF MEAT KG,1.87,68.3
2025- Feb,Hadla,20000010901,لحم عجل,BURGER CAJUN,3,64.14
2025- Feb,Hadla,20000005101,لحم بقري,STRIPLOIN STEAK BEEF MEAT KG,1.91,89.69
2025- Feb,Hadla,20000004401,لحم بقري,BEEF SHANKS WITHOUT BONE KG,1.94,72.54
2025- Feb,Tarout,20000002301,لحم عجل,VEAL LIVER KG,2.266,103.15
2025- Feb,Hadla,20000002601,لحم عجل,VEAL SHANKS WITHOUT BONE KG,1.42,69.1
2025- Feb,Saihat,20000005001,لحم بقري,RIBS BEEF MEAT KG,2.556,93.34
2025- Feb,Saihat,20000013101,دجاج,CHICKEN MASALA,5,65.15
2025- Feb,Al Zahra,20000001001,لحم عجل,YOUNG VEAL SHANKS BONE IN KG,1.681,71.74
2025- Feb,Tarout,20000004101,لحم بقري,BEEF LIVER KG,17.024,562.51
2025- Feb,Shate,20000003701,لحم بقري,BEEF TENDERLION KG,2.082,106.82
2025- Feb,Al Zahra,20000005201,لحم عجل,T-BONE STEAK VEAL BEEF KG,2.805,131.74
2025- Feb,Hadla,20000009801,دجاج,NIAMAH CHICKEN WHOLE LEGS KG,5.361,68.14
2025- Feb,Khozama ,240,لحم عجل,ستيك ريب اي عجل,1.645,84.39566
2025- Feb,Hadla,20000004501,لحم بقري,BEEF SHANKS BONE IN KG,3.025,99.96
2025- Feb,Shate,20000011901,دجاج,CHICKEN BREAST ITALIAN,5,83.7
2025- Feb,Hadla,20000000901,لحم عجل,YOUNG VEAL SHANKS WITHOUT BONE,1.7,81.97
2025- Feb,Al Zahra,20000000701,لحم عجل,RIB EYE STEAK YOUNG VEAL KG,1.7,99.92
2025- Feb,Al Zahra,20000001201,لحم عجل,THIN YOUNG VEAL SLICES KG,1.73,98.15
2025- Feb,Shate,20000012001,دجاج,CHICKEN THIGHS BONELESS TANDOR,7,114.1
2025- Feb,Al Zahra,20000001501,لحم عجل,RIBS YOUNG VEAL MEAT KG,2.484,107.61
2025- Feb,Saihat,20000009801,دجاج,NIAMAH CHICKEN WHOLE LEGS KG,7.455,90.72
2025- Feb,Khozama ,110,لحم عجل,لحم بتلو مكعبات صغيرة,1.985,112.6099
2025- Feb,Shate,20000006801,دجاج,FRESH WB A TRAY CUTS HALF 550G,11,114.73
2025- Feb,Khozama ,1360,دجاج,برجر الدجاج الفاخر,8,116.52176
2025- Feb,Khozama ,1410,دجاج,مسالا الدجاج,8,126.95656
2025- Feb,Shate,20000013101,دجاج,CHICKEN MASALA,8,104.24
2025- Feb,Tarout,20000010501,لحم حاشي,CAMEL MEAT WITH BONE KG,102.588,3237.78
2025- Feb,Khozama ,290,لحم عجل,لحم عجل شرائح رفيعة,2.385,116.05617
2025- Feb,Saihat,20000000601,لحم عجل,YOUNG VEAL LIVER KG,2.192,92.9
2025- Feb,Tarout,20000011001,لحم عجل,DONER KEBEB BURGER,47,1142.1
2025- Feb,Tarout,20000011201,لحم عجل,VEAL KEBAB,17,365.84
2025- Feb,Khozama ,280,لحم عجل,لحم عجل مكعبات صغيرة,2.505,121.89548
2025- Feb,Khozama ,740,دجاج,افخاذ دجاج طازجة 500جم الدوحة,16,118.17396
2025- Feb,Tarout,20000012501,دجاج,CHICKEN BURGER1X1,9,131.04
2025- Feb,Tarout,20000012201,دجاج,CHICKEN FAJITAS,1,16.3
2025- Feb,Tarout,20000012501,دجاج,CHICKEN BURGER,16,291.52
2025- Feb,Tarout,20000006001,دجاج,CHICKEN 700G DOHA,9.001,117.39
2025- Feb,Tarout,20000012701,دجاج,CHICKEN KEBAB,2,33.48
2025- Feb,Saihat,20000012601,دجاج,PREMIUM CHICKEN BURGER,10.998,160.13
2025- Feb,Saihat,20000011401,لحم عجل,VEAL SHAWARMA,7,144.55
2025- Feb,Hadla,20000002001,لحم عجل,VEAL TENDERLION KG,2.68,160.8
2025- Feb,Al Zahra,20000004801,لحم بقري,RIB EYE STEAK BEEF KG,3.77,170.38
2025- Feb,Khozama ,1290,دجاج,صدور دجاج إيطالي,8,133.91304
2025- Feb,Hadla,20000014401,ضأن,NAIMI MEAT KG,2.165,139.3
2025- Feb,Hadla,20000007901,دجاج,FRESH LIVERS A TRAY 500G DOHA,30.005,131.36
2025- Feb,Saihat,20000011701,دجاج,CHICKEN BREASTS MUSTURED & HER,9,150.66
2025- Feb,Khozama ,1330,دجاج,صدور دجاج كرسبي بهارات إيطالية,13,211.95655
2025- Feb,Al Zahra,20000000301,لحم عجل,YOUNG VEAL TENDERLOIN KG,2.57,178
2025- Feb,Saihat,20000002301,لحم عجل,VEAL LIVER KG,11.666,531.08
2025- Feb,Hadla,20000001101,لحم عجل,SMALL YOUNG VEAL CUBES KG,2.67,151.47
2025- Feb,Khozama ,1340,دجاج,صدور دجاج كرسبي بهارات الكيجن,14,225.00003
2025- Feb,Khozama ,1150,لحم حاشي,لحم حاشي بالعظم,5.04,148.97143
2025- Feb,Khozama ,390,لحم بقري,لحم بقر مفروم صافي,4,160
2025- Feb,Khozama ,del-74,لحم عجل,لحم موزات بتلو صافي,2.845,137.17848
2025- Feb,Shate,20000009801,دجاج,NIAMAH CHICKEN WHOLE LEGS KG,11.209,136.4
2025- Feb,Saihat,20000010701,لحم عجل,BURGER CLASSIC 100G1X1,7,139.93
2025- Feb,Saihat,20000004101,لحم بقري,BEEF LIVER KG,25.511,842.93
2025- Feb,Khozama ,640,دجاج,حبة دجاج 1000 الدوحة,10,178.2609
2025- Feb,Al Zahra,20000001401,لحم عجل,HARIES YOUNG VEAL MEAT KG,3.01,164.65
2025- Feb,Saihat,20000000901,لحم عجل,YOUNG VEAL SHANKS WITHOUT BONE,3.014,145.33
2025- Feb,Al Zahra,20000005701,ضأن,LAMB SHOULDER CUT KG,3.065,170.57
2025- Feb,Saihat,20000005601,ضأن,LAMB LIVER KG,2.446,114.85
2025- Feb,Khozama ,del-02,دجاج,صدور دجاج نعمة,5.72,208.90435
2025- Feb,Al Zahra,20000004701,لحم بقري,HARIES BEEF MEAT KG,5.171,202.33
2025- Feb,Hadla,20000012501,دجاج,CHICKEN BURGER1X1,13,189.28
2025- Feb,Shate,20000007501,دجاج,FRESH DRUMSTICK A TRAY 500G,18,155.7
2025- Feb,Hadla,20000004301,لحم بقري,SMALL BEEF CUBES KG,5.57,251.85
2025- Feb,Hadla,20000004201,لحم بقري,THIN BEEF SLICES KG,5.635,254.81
2025- Feb,Al Zahra,20000012501,دجاج,CHICKEN BURGER1X1,14.014,203.98
2025- Feb,Khozama ,1210,لحم عجل,برجر خالي الدهون,10,213.8261
2025- Feb,Hadla,20000006201,دجاج,CHICKEN 900G DOHA1X1,12.004,182.08
2025- Feb,Al Zahra,20000001701,لحم عجل,T-BONE STEAK YOUNG VEAL MEATKG,4.64,211.22
2025- Feb,Khozama ,250,لحم عجل,ستيك فتيلة عجل,4.115,355.24969
2025- Feb,Al Zahra,20000006401,دجاج,CHICKEN 1100G DOHA1X1,12,190.44
2025- Feb,Tarout,20000007901,دجاج,FRESH LIVERS A TRAY 500G DOHA,45.002,190.32
2025- Feb,Al Zahra,20000005901,ضأن,LAMB SHANKS CUT KG,3.71,241.96
2025- Feb,Khozama ,90,لحم عجل,لحم موزات بتلو صافي,3.745,180.57412
2025- Feb,Hadla,20000000401,لحم عجل,MINCED YOUNG VEAL MEAT KG,3.795,182.98
2025- Feb,Shate,20000004801,لحم بقري,RIB EYE STEAK BEEF KG,6.242,282.44
2025- Feb,Shate,20000006401,دجاج,CHICKEN 1100G DOHA1X1,13,206.31
2025- Feb,Al Zahra,20000002801,لحم عجل,SMALL VEAL CUBES KG,4.535,220.7
2025- Feb,Saihat,20000010501,لحم حاشي,CAMEL MEAT WITH BONE KG,188.58,5887.48
2025- Feb,Al Zahra,20000009801,دجاج,NIAMAH CHICKEN WHOLE LEGS KG,15.563,189.4
2025- Feb,Saihat,20000012501,دجاج,CHICKEN BURGER1X1,16,232.96
2025- Feb,Tarout,20000007501,دجاج,FRESH DRUMSTICK A TRAY 500G,22,190.3
2025- Feb,Saihat,20000011001,لحم عجل,DONER KEBEB BURGER,45,1093.5
2025- Feb,Saihat,20000011201,لحم عجل,VEAL KEBAB,14,301.28
2025- Feb,Hadla,20000013101,دجاج,CHICKEN MASALA,16,208.48
2025- Feb,Khozama ,1070,دجاج,طبق صدور دجاج نعمة 500 جم,13.59,270.35094
2025- Feb,Tarout,20000010601,لحم حاشي,CAMEL MEAT WITHOUT BONE KG,5.848,238.95
2025- Feb,Saihat,20000012101,دجاج,CHICKEN SHAWARMA,12,195.6
2025- Feb,Saihat,20000012201,دجاج,CHICKEN FAJITAS,13,211.9
2025- Feb,Saihat,20000012501,دجاج,CHICKEN BURGER,34,619.48
2025- Feb,Tarout,20000006401,دجاج,CHICKEN 1100G DOHA,14,228.99
2025- Feb,Al Zahra,20000009501,دجاج,CHICKEN WHOLE LEGS W/BON500G,28.026,243.58
2025- Feb,Saihat,20000012701,دجاج,CHICKEN KEBAB,11,184.14
2025- Feb,Saihat,20000012801,دجاج,GOJEH KEBAB,5,65.15
2025- Feb,Shate,20000002101,لحم عجل,MINCED VEAL MEAT KG,4.856,205.81
2025- Feb,Khozama ,del-69,لحم عجل,لحم بتلو مفروم صافي,4.05,221.48219
2025- Feb,Al Zahra,20000010401,دجاج,FRESH MINCHED NIAMAH CHICKE KG,6.905,276.21
2025- Feb,Hadla,20000006501,دجاج,CHICKEN 1200G DOHA,14.001,258.31
2025- Feb,Al Zahra,20000006501,دجاج,CHICKEN 1200G DOHA,14.003,258.33
2025- Feb,Saihat,20000007901,دجاج,FRESH LIVERS A TRAY 500G DOHA,54.592,240.84
2025- Feb,Tarout,20000006201,دجاج,CHICKEN 900G DOHA1X1,15.003,227.59
2025- Feb,Shate,17000005801,دجاج,DOHA CHICKEN 900G,3,52.05
2025- Feb,Shate,17000006301,دجاج,DOHA CHICKEN 1000G,2,36.46
2025- Feb,Shate,17000006501,دجاج,DOHA CHICKEN 1100G,1,18.53
2025- Feb,Shate,17000007601,دجاج,TOGA CHICKEN 900G,3,46.92
2025- Feb,Shate,17000009501,دجاج,TOGA CHICKEN 1000G,11,179.3
2025- Feb,Shate,17000009701,دجاج,TOGA CHICKEN 1200G,0,0
2025- Feb,Shate,17000009901,دجاج,TOGA CHICKEN 1100G,8,132.08
2025- Feb,Tarout,20000006301,دجاج,CHICKEN 1000G DOHA1X1,15.003,234.64
2025- Feb,Hadla,20000006301,دجاج,CHICKEN 1000G DOHA1X1,15.005,234.65
2025- Feb,Hadla,20000003701,لحم بقري,BEEF TENDERLION KG,7.48,383.79
2025- Feb,Tarout,20000006401,دجاج,CHICKEN 1100G DOHA1X1,16,253.92
2025- Feb,Saihat,20000007201,دجاج,FRESH MINCHED MEAT A TRAY 500G,26,316.42
2025- Feb,Shate,20000002301,لحم عجل,VEAL LIVER KG,10.746,489.14
2025- Feb,Hadla,20000005801,ضأن,LAMB RIBS CUT KG,4.88,318.27
2025- Feb,Al Zahra,20000007901,دجاج,FRESH LIVERS A TRAY 500G DOHA,63.069,273.84
2025- Feb,Khozama ,1320,دجاج,فاهيتا دجاج,20,326.087
2025- Feb,Al Zahra,20000012301,دجاج,CHICKEN CRISPY WITH ITALIAN SP,27,440.1
2025- Feb,Tarout,20000011701,دجاج,CHICKEN BREASTS MUSTURED & HER,19,318.06
2025- Feb,Shate,20000004101,لحم بقري,BEEF LIVER KG,14.905,492.49
2025- Feb,Saihat,20000013001,دجاج,CHICKEN BALLS KOFTA,25,416.86
2025- Feb,Khozama ,1280,دجاج,صدور دجاج تندوري,18,293.4783
2025- Feb,Al Zahra,20000000901,لحم عجل,YOUNG VEAL SHANKS WITHOUT BONE,5.395,260.15
2025- Feb,Khozama ,1310,دجاج,شاورما دجاج,21,342.39135
2025- Feb,Shate,20000007901,دجاج,FRESH LIVERS A TRAY 500G DOHA,67.013,280.79
2025- Feb,Shate,20000010601,لحم حاشي,CAMEL MEAT WITHOUT BONE KG,7.618,311.29
2025- Feb,Shate,20000005601,ضأن,LAMB LIVER KG,0.964,45.27
2025- Feb,Shate,20000012501,دجاج,CHICKEN BURGER1X1,21.998,320.29
2025- Feb,Saihat,20000007501,دجاج,FRESH DRUMSTICK A TRAY 500G,30,259.5
2025- Feb,Tarout,20000001901,لحم عجل,VEAL MEAT WITH BONE KG,8.328,287.35
